시군명,지역명,학교명,합계사항(명),lon,lat
안양시,경기도 안양시 동안구,경기글로벌통상고등학교,310,126.9475104,37.39758085
안양시,경기도 안양시 동안구,관양고등학교,1033,126.9600625,37.40849726
안양시,경기도 안양시 동안구,관양중학교,488,126.9602789,37.40538887
안양시,경기도 안양시 동안구,관양초등학교,756,126.9598717,37.40630775
안양시,경기도 안양시 동안구,귀인중학교,1103,126.9634527,37.38366663
안양시,경기도 안양시 동안구,귀인초등학교,1700,126.96615,37.38644262
안양시,경기도 안양시 만안구,근명여자정보고등학교,648,126.9187861,37.39219389
안양시,경기도 안양시 만안구,근명중학교,624,126.9187861,37.39219389
안양시,경기도 안양시 동안구,나눔초등학교,385,126.9754529,37.39039156
안양시,경기도 안양시 동안구,달안초등학교,270,126.9500651,37.39422125
안양시,경기도 안양시 동안구,대안여자중학교,573,126.9651497,37.37717089
안양시,경기도 안양시 동안구,대안중학교,568,126.965951,37.37781087
안양시,경기도 안양시 만안구,덕천초등학교,827,126.9361774,37.39138506
안양시,경기도 안양시 동안구,동안고등학교,1123,126.9660918,37.38997456
안양시,경기도 안양시 동안구,동안초등학교,565,126.9645337,37.38944247
안양시,경기도 안양시 만안구,만안초등학교,666,126.9166244,37.40624806
안양시,경기도 안양시 만안구,명학초등학교,422,126.9343695,37.38011239
안양시,경기도 안양시 동안구,민백초등학교,763,126.969978,37.38619146
안양시,경기도 안양시 만안구,박달중학교,614,126.8966197,37.39950125
안양시,경기도 안양시 만안구,박달초등학교,1009,126.9025356,37.40102912
안양시,경기도 안양시 동안구,백영고등학교,1012,126.9648968,37.38605478
안양시,경기도 안양시 동안구,벌말초등학교,1022,126.9806126,37.39358222
안양시,경기도 안양시 동안구,범계중학교,845,126.9553677,37.38439348
안양시,경기도 안양시 동안구,범계초등학교,838,126.9538416,37.38714094
안양시,경기도 안양시 동안구,부림중학교,843,126.9533378,37.39763749
안양시,경기도 안양시 동안구,부림초등학교,895,126.9601126,37.39991068
안양시,경기도 안양시 동안구,부안중학교,532,126.9607795,37.39877565
안양시,경기도 안양시 동안구,부흥고등학교,1144,126.9447245,37.39300238
안양시,경기도 안양시 동안구,비산중학교,656,126.9482022,37.40913209
안양시,경기도 안양시 동안구,비산초등학교,643,126.9438682,37.40496735
안양시,경기도 안양시 만안구,삼봉초등학교,729,126.8994837,37.40285554
안양시,경기도 안양시 만안구,삼성초등학교,1104,126.9115367,37.41971429
안양시,경기도 안양시 동안구,샘모루초등학교,867,126.9408683,37.39960482
안양시,경기도 안양시 만안구,석수초등학교,756,126.9010152,37.4061906
안양시,경기도 안양시 만안구,성문고등학교,931,126.9240959,37.37919597
안양시,경기도 안양시 만안구,성문중학교,230,126.9240959,37.37919597
안양시,경기도 안양시 동안구,신기중학교,491,126.9590295,37.37863743
안양시,경기도 안양시 만안구,신성고등학교,1041,126.920116,37.38432901
안양시,경기도 안양시 만안구,신성중학교,778,126.920116,37.38432901
안양시,경기도 안양시 만안구,신안중학교,286,126.9153121,37.38861436
안양시,경기도 안양시 만안구,신안초등학교,657,126.9151752,37.38985765
안양시,경기도 안양시 만안구,안양고등학교,963,126.9014293,37.40064074
안양시,경기도 안양시 만안구,안양공업고등학교,684,126.914374,37.39896626
안양시,경기도 안양시 동안구,안양관악초등학교,347,126.9683653,37.40641865
안양시,경기도 안양시 동안구,안양남초등학교,619,126.9690663,37.37964085
안양시,경기도 안양시 동안구,안양덕현초등학교,277,126.9620908,37.37569222
안양시,경기도 안양시 동안구,안양동초등학교,494,126.9355648,37.40710731
안양시,경기도 안양시 동안구,안양부안초등학교,747,126.9544218,37.39794428
안양시,경기도 안양시 동안구,안양부흥중학교,1104,126.9457064,37.39377773
안양시,경기도 안양시 동안구,안양부흥초등학교,1103,126.9467335,37.39449903
안양시,경기도 안양시 만안구,안양서중학교,196,126.9044869,37.38566856
안양시,경기도 안양시 만안구,안양서초등학교,670,126.9109317,37.39713458
안양시,경기도 안양시 동안구,안양신기초등학교,654,126.9570294,37.38127664
안양시,경기도 안양시 만안구,안양양지초등학교,363,126.9045691,37.39188559
안양시,경기도 안양시 만안구,안양여자고등학교,654,126.9167068,37.40335589
안양시,경기도 안양시 만안구,안양여자상업고등학교,542,126.9093189,37.39538536
안양시,경기도 안양시 만안구,안양여자중학교,455,126.9167068,37.40335589
안양시,경기도 안양시 만안구,안양예술고등학교,862,126.9114309,37.39525186
안양시,경기도 안양시 만안구,안양외국어고등학교,693,126.9093189,37.39538536
안양시,경기도 안양시 동안구,안양중앙초등학교,579,126.9380595,37.3956659
안양시,경기도 안양시 만안구,안양중학교,396,126.8965953,37.4087726
안양시,경기도 안양시 만안구,안양초등학교,959,126.9275695,37.39438926
안양시,경기도 안양시 만안구,안양호암초등학교,201,126.9165061,37.42069111
안양시,경기도 안양시 만안구,안일초등학교,627,126.9223648,37.40374731
안양시,경기도 안양시 만안구,양명고등학교,1124,126.9196715,37.40846673
안양시,경기도 안양시 만안구,양명여자고등학교,1083,126.9217843,37.40785551
안양시,경기도 안양시 만안구,연현중학교,872,126.8993121,37.42907465
안양시,경기도 안양시 만안구,연현초등학교,648,126.9025143,37.42546439
안양시,경기도 안양시 동안구,인덕원고등학교,931,126.9811416,37.39961007
안양시,경기도 안양시 동안구,인덕원중학교,303,126.9720266,37.40199572
안양시,경기도 안양시 동안구,인덕원초등학교,323,126.9794258,37.39691573
안양시,경기도 안양시 동안구,임곡중학교,640,126.9315315,37.40824923
안양시,경기도 안양시 만안구,충훈고등학교,833,126.8927861,37.41068825
안양시,경기도 안양시 동안구,평촌경영고등학교,968,126.9592537,37.40077533
안양시,경기도 안양시 동안구,평촌고등학교,1172,126.9546439,37.38608709
안양시,경기도 안양시 동안구,평촌공업고등학교,872,126.9627237,37.37453013
안양시,경기도 안양시 동안구,평촌중학교,1215,126.9617,37.38844139
안양시,경기도 안양시 동안구,평촌초등학교,1235,126.9605935,37.3880806
안양시,경기도 안양시 동안구,해오름초등학교,804,126.9692218,37.41068967
안양시,경기도 안양시 동안구,호계중학교,486,126.9512843,37.37844509
안양시,경기도 안양시 동안구,호계초등학교,606,126.9503434,37.38388679
안양시,경기도 안양시 동안구,호성중학교,560,126.9641163,37.36670079
안양시,경기도 안양시 동안구,호성초등학교,1115,126.9630329,37.36616883
안양시,경기도 안양시 동안구,호원초등학교,339,126.9528444,37.37531024
안양시,경기도 안양시 만안구,화창초등학교,495,126.9037636,37.41191432
안양시,경기도 안양시 동안구,희성초등학교,388,126.9488428,37.39802296
